provinces;Confirmed;Death;Latitude;Longitude
Agadir;52;2;30.41;-9.577
Al Haouz;60;0;31.36;-7.947
Al Hoceima;11;1;35.24;-3.935
Assa-Zag;0;0;28.68;-9.349
Awsard;0;0;22.58;-14.42
Azilal;53;0;31.96;-6.57
Beni Mellal;29;0;32.33;-6.368
Benslimane;7;0;33.61;-7.123
Berkane;1;0;34.92;-2.325
Berrechid;14;0;33.26;-7.589
Boujdour;3;0;26.22;-14.4
Boulemane;1;0;33.05;-3.989
Casablanca;773;11;33.6;-7.63
Chefchaouen;2;0;35.17;-5.269
Chichaoua;10;0;31.55;-8.767
Chtouka Ait Baha;8;0;30.22;-9.37
Driouch;0;0;34.98;-3.393
El Hajeb;1;1;33.69;-5.366
El Jadida;10;0;33.24;-8.51
El Kalaa Sraghna;0;1;32.05;-7.4
Errachidia ;66;3;31.94;-4.423
Essaouira;32;0;31.46;-9.749
Es-Semara;10;0;26.62;-11.78
Fahs-Anjra;0;0;35.66;-5.514
Fes;31;3;34.02;-4.979
Figuig;0;0;32.11;-1.224
Fquih Ben Saleh;23;0;32.5;-6.688
Guelmim;14;0;28.99;-10.07
Guercif;2;0;34.23;-3.349
Ifrane;0;0;33.53;-5.105
Inzegan Ait melloul;42;0;30.36;-9.552
Jerada;2;0;34.3;-2.18
Kenitra;48;0;34.27;-6.538
khemisset;1;0;33.82;-6.068
Khenifra;51;1;32.94;-5.666
Khouribga;9;0;32.88;-6.915
Laayoune;23;0;27.17;-13.09
Larache;14;0;35.18;-6.152
M'diq-Fnidq;5;0;35.69;-5.325
Mediouna;24;0;33.45;-7.514
Meknes;17;1;33.88;-5.507
Merrakech;107;3;31.61;-7.95
Midelt;30;0;32.7;-4.733
Mohammedia;23;0;33.7;-7.39
My Yaaqoub;1;0;34.09;-5.178
Nador;0;0;35.17;-2.924
Nouaceur;24;0;33.38;-7.559
Ouarzazate;59;0;30.93;-6.915
Ouazzane;1;0;34.8;-5.57
Oued-Eddahab;87;0;23.75;-15.92
Oujda;8;0;34.7;-1.903
Rabat;14;0;33.99;-6.87
Rehamna;3;1;32.24;-7.947
Safi ;15;0;32.29;-9.231
Sale;44;0;34.06;-6.788
Sefrou;5;0;33.83;-4.83
Sekhirat-Temara;7;0;33.92;-6.91
Settat;72;1;33;-7.616
Sidi Bennour;1;0;32.66;-8.426
Sidi Ifni;3;0;29.38;-10.16
Sidi Kacem;11;0;34.23;-5.71
Sidi Slimane;5;0;34.26;-5.922
Tanger-Asilah;65;1;35.79;-5.903
Tan-Tan;0;0;28.44;-11.1
Taounat;2;0;34.53;-4.646
Taourirt;0;0;34.41;-2.893
Tarfaya;2;0;27.93;-12.9
Taroudant;2;0;30.52;-8.861
Tata;0;0;29.76;-7.969
Taza;36;1;34.22;-4.014
Tetouan;20;1;-5.349;35.58
Tinghir;30;0;-5.503;31.52
Tiznit;5;0;-9.704;29.69
Youssoufia;1;0;-8.527;32.24
Zagora;102;0;-5.826;30.32
